"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022"
"JM70","AW, RB, TR",52,"2011, 2012, 2014, 2013, 2015, 2016",6,"6 : AW | 6 : TR","6 : AW | 2 : RB | 6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","AW: 12 | TR: 36 | RB: 4 | Total: 52","TR: 24 | RB: 2 | Total: 26","TR: 12 | Total: 12"
"JM71","AW, RB",13,"2015",1,NA,NA,NA,NA,"12 : AW | 1 : RB",NA,NA,NA,"AW: 12 | RB: 1 | Total: 13","AW: 12 | RB: 1 | Total: 13","AW: 12 | RB: 1 | Total: 13","AW: 12 | RB: 1 | Total: 13"
"JU08","RL",1590,"2013, 2014, 2017, 2018",4,NA,NA,"436 : RL","417 : RL",NA,NA,"391 : RL","346 : RL","RL: 737 | Total: 737","RL: 853 | Total: 853","RL: 1590 | Total: 1590","RL: 737 | Total: 737"
"JU10","RB, PA, TM, AW, SS",67,"2014, 2015, 2013, 2016, 2011, 2018, 2017",7,"4 : AW | 7 : TM",NA,"6 : RB","8 : RB","14 : RB","12 : PA | 6 : RB","1 : RB | 1 : SS","1 : RB | 2 : SS | 5 : TM","RB: 22 | PA: 12 | SS: 3 | TM: 5 | Total: 42","AW: 4 | TM: 7 | RB: 34 | PA: 12 | Total: 57","RB: 36 | PA: 12 | SS: 3 | TM: 5 | Total: 56","RB: 22 | PA: 12 | SS: 3 | TM: 5 | Total: 42"
"JU11","AW, FP, TM, RB, TR, PA",129,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW | 3 : FP | 1 : RB | 6 : TM | 1 : TR","3 : AW | 6 : TR","11 : AW | 2 : FP | 12 : PA | 1 : RB","12 : AW | 1 : RB | 6 : TR","10 : AW | 2 : FP | 1 : RB | 6 : TR","6 : AW | 2 : FP | 2 : RB | 6 : TR","6 : AW | 1 : FP | 2 : RB | 6 : TR","2 : AW | 1 : RB | 5 : TR","AW: 24 | FP: 5 | RB: 6 | TR: 23 | Total: 58","AW: 48 | FP: 9 | RB: 6 | TM: 6 | TR: 25 | PA: 12 | Total: 106","AW: 47 | FP: 7 | PA: 12 | RB: 8 | TR: 29 | Total: 103","AW: 24 | FP: 5 | RB: 6 | TR: 23 | Total: 58"
"JU12","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JU13","AW, FP",27,"2011, 2012, 2014",3,"6 : AW","6 : AW",NA,"12 : AW | 3 : FP",NA,NA,NA,NA,NA,"AW: 24 | FP: 3 | Total: 27","AW: 12 | FP: 3 | Total: 15",NA
"JU14","AW, QA, FP, RB",14,"2013",1,NA,NA,"11 : AW | 1 : FP | 1 : QA | 1 : RB",NA,NA,NA,NA,NA,NA,"AW: 11 | FP: 1 | QA: 1 | RB: 1 | Total: 14","AW: 11 | FP: 1 | QA: 1 | RB: 1 | Total: 14",NA
"JU15","TR, TM",47,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TR","6 : TR","6 : TR","6 : TM","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 30 | TM: 6 | Total: 36","TR: 29 | TM: 6 | Total: 35","TR: 23 | Total: 23"
"JU18","AW, RB",14,"2014, 2018",2,NA,NA,NA,"12 : AW",NA,NA,NA,"2 : RB","RB: 2 | Total: 2","AW: 12 | Total: 12","AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2"
"JU19","RB, TM",15,"2014, 2015, 2016, 2012",4,NA,"1 : RB",NA,"2 : RB","6 : TM","6 : TM",NA,NA,"TM: 12 | Total: 12","RB: 3 | TM: 12 | Total: 15","RB: 2 | TM: 12 | Total: 14","TM: 12 | Total: 12"
"JU20","TR",46,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","6 : TR","5 : TR","TR: 22 | Total: 22","TR: 35 | Total: 35","TR: 34 | Total: 34","TR: 22 | Total: 22"
"JU21","TM, AW, RB, TR, PA, SS, FP",309,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"22 : AW | 2 : RB | 20 : TM | 1 : TR","14 : AW | 3 : RB | 6 : TM | 6 : TR","33 : AW | 2 : RB | 12 : TR","31 : AW | 3 : RB | 12 : TR","31 : AW | 3 : RB | 6 : TM | 6 : TR","18 : AW | 3 : RB | 6 : TM | 6 : TR","18 : AW | 1 : FP | 12 : PA | 2 : RB | 1 : SS | 6 : TR","6 : AW | 2 : SS | 5 : TM | 10 : TR","AW: 73 | RB: 8 | TM: 17 | TR: 28 | FP: 1 | PA: 12 | SS: 3 | Total: 142","AW: 149 | RB: 16 | TM: 38 | TR: 43 | Total: 246","AW: 137 | RB: 13 | TR: 52 | TM: 17 | FP: 1 | PA: 12 | SS: 3 | Total: 235","AW: 73 | RB: 8 | TM: 17 | TR: 28 | FP: 1 | PA: 12 | SS: 3 | Total: 142"
"JU22","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JU23","AW, QA",25,"2013, 2015",2,NA,NA,"12 : AW",NA,"11 : AW | 2 : QA",NA,NA,NA,"AW: 11 | QA: 2 | Total: 13","AW: 23 | QA: 2 | Total: 25","AW: 23 | QA: 2 | Total: 25","AW: 11 | QA: 2 | Total: 13"
"JU24","TR, TM, RB, AW, QA, SS",119,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"1 : RB | 6 : TM | 6 : TR","3 : AW | 1 : RB | 6 : TR","10 : AW | 1 : QA | 1 : RB | 6 : TR","10 : AW | 1 : RB | 6 : TR","9 : AW | 1 : QA | 1 : RB | 6 : TR","6 : AW | 3 : RB | 6 : TR","6 : AW | 1 : RB | 1 : SS | 6 : TR","2 : AW | 3 : SS | 5 : TM | 5 : TR","AW: 23 | QA: 1 | RB: 5 | TR: 23 | SS: 4 | TM: 5 | Total: 61","RB: 8 | TM: 6 | TR: 36 | AW: 38 | QA: 2 | Total: 90","AW: 43 | QA: 2 | RB: 7 | TR: 35 | SS: 4 | TM: 5 | Total: 96","AW: 23 | QA: 1 | RB: 5 | TR: 23 | SS: 4 | TM: 5 | Total: 61"
"JU35","AW",12,"2015",1,NA,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"JU36","RB, TR, FP",47,"2012, 2011, 2014, 2015, 2016, 2013, 2017, 2018",8,"2 : RB | 6 : TR","2 : RB | 6 : TR","2 : FP","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","RB: 4 | TR: 30 | FP: 2 | Total: 36","FP: 2 | TR: 29 | Total: 31","TR: 23 | Total: 23"
"JU37","TM, AW, TR, RB, FP, SS",57,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"1 : AW | 5 : TM","6 : AW","1 : RB | 6 : TR","2 : FP | 1 : RB | 6 : TR","1 : RB | 6 : TR","1 : RB | 6 : TR","1 : RB | 1 : SS | 6 : TR","2 : SS | 5 : TR","RB: 3 | TR: 23 | SS: 3 | Total: 29","AW: 7 | TM: 5 | RB: 4 | TR: 24 | FP: 2 | Total: 42","RB: 5 | TR: 35 | FP: 2 | SS: 3 | Total: 45","RB: 3 | TR: 23 | SS: 3 | Total: 29"
"JU38","AW, QA",24,"2011, 2012, 2017",3,"5 : AW | 1 : QA","6 : AW",NA,NA,NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"JU39","RB, AW",14,"2013, 2016",2,NA,NA,"2 : RB",NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","RB: 2 | AW: 12 | Total: 14","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"JU40","AW, QA",21,"2011, 2012, 2017",3,"4 : AW | 2 : QA","5 : AW | 1 : QA",NA,NA,NA,NA,"9 : AW",NA,"AW: 9 | Total: 9","AW: 9 | QA: 3 | Total: 12","AW: 9 | Total: 9","AW: 9 | Total: 9"
"JU41","TM, RB",14,"2015, 2016, 2011",3,"2 : RB",NA,NA,NA,"6 : TM","6 : TM",NA,NA,"TM: 12 | Total: 12","RB: 2 | TM: 12 | Total: 14","TM: 12 | Total: 12","TM: 12 | Total: 12"
"JU42","AW, QA",12,"2013",1,NA,NA,"10 : AW | 2 : QA",NA,NA,NA,NA,NA,NA,"AW: 10 | QA: 2 | Total: 12","AW: 10 | QA: 2 | Total: 12",NA
"JU43","TM, AW, RB",48,"2015, 2016, 2011, 2012, 2017",5,"6 : AW","6 : AW | 1 : RB",NA,NA,"11 : TM","12 : TM","12 : AW",NA,"TM: 23 | AW: 12 | Total: 35","AW: 12 | RB: 1 | TM: 23 | Total: 36","TM: 23 | AW: 12 | Total: 35","TM: 23 | AW: 12 | Total: 35"
"JU44","PA, FP",47,"2013, 2015, 2011, 2017",4,"4 : FP",NA,"3 : FP | 12 : PA",NA,"3 : FP | 11 : PA",NA,"2 : FP | 12 : PA",NA,"FP: 5 | PA: 23 | Total: 28","FP: 10 | PA: 23 | Total: 33","FP: 8 | PA: 35 | Total: 43","FP: 5 | PA: 23 | Total: 28"
"JU45","AW, QA, RB, FP",30,"2011, 2012, 2017",3,"5 : AW | 4 : FP | 1 : QA","6 : AW | 2 : RB",NA,NA,NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 11 | FP: 4 | QA: 1 | RB: 2 | Total: 18","AW: 12 | Total: 12","AW: 12 | Total: 12"
"JU46","FP, AW",13,"2011, 2018",2,"4 : FP",NA,NA,NA,NA,NA,NA,"9 : AW","AW: 9 | Total: 9","FP: 4 | Total: 4","AW: 9 | Total: 9","AW: 9 | Total: 9"
"JU47","TM, RB, FP",18,"2015, 2016, 2017",3,NA,NA,NA,NA,"1 : FP | 2 : RB | 5 : TM","2 : RB | 6 : TM","2 : RB",NA,"FP: 1 | RB: 6 | TM: 11 | Total: 18","FP: 1 | RB: 4 | TM: 11 | Total: 16","FP: 1 | RB: 6 | TM: 11 | Total: 18","FP: 1 | RB: 6 | TM: 11 | Total: 18"
"JU48","FP, PA, AW, RB",66,"2015, 2014, 2016, 2011, 2012, 2013",6,"6 : AW | 3 : RB","6 : AW | 2 : RB","2 : RB","5 : FP | 14 : PA","2 : FP | 11 : PA","3 : FP | 12 : PA",NA,NA,"FP: 5 | PA: 23 | Total: 28","AW: 12 | RB: 7 | FP: 10 | PA: 37 | Total: 66","RB: 2 | FP: 10 | PA: 37 | Total: 49","FP: 5 | PA: 23 | Total: 28"
"JU49","TM, RB",18,"2015, 2016, 2011, 2012",4,"4 : RB","1 : RB",NA,NA,"6 : TM","7 : TM",NA,NA,"TM: 13 | Total: 13","RB: 5 | TM: 13 | Total: 18","TM: 13 | Total: 13","TM: 13 | Total: 13"
"JU50","TR, SS",37,"2013, 2014, 2015, 2016, 2017, 2018",6,NA,NA,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","2 : SS | 5 : TR","TR: 23 | SS: 2 | Total: 25","TR: 24 | Total: 24","TR: 35 | SS: 2 | Total: 37","TR: 23 | SS: 2 | Total: 25"
"JU51","AW, QA",12,"2014",1,NA,NA,NA,"11 : AW | 1 : QA",NA,NA,NA,NA,NA,"AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12",NA
"JU52","AW, PA, RB, FP, TM, QA",103,"2011, 2012, 2016, 2013, 2015, 2014, 2017, 2018",8,"6 : AW | 2 : RB","6 : AW | 4 : FP | 2 : RB","4 : RB","3 : FP | 12 : PA","5 : TM","6 : FP | 36 : PA | 1 : RB | 2 : TM","2 : TM","9 : AW | 2 : FP | 1 : QA","TM: 9 | FP: 8 | PA: 36 | RB: 1 | AW: 9 | QA: 1 | Total: 64","AW: 12 | RB: 9 | FP: 13 | PA: 48 | TM: 7 | Total: 89","RB: 5 | FP: 11 | PA: 48 | TM: 9 | AW: 9 | QA: 1 | Total: 83","TM: 9 | FP: 8 | PA: 36 | RB: 1 | AW: 9 | QA: 1 | Total: 64"
"JU53","QA, AW, SS",25,"2011, 2012, 2017, 2018",4,"4 : AW | 2 : QA","6 : AW",NA,NA,NA,NA,"12 : AW","1 : SS","AW: 12 | SS: 1 | Total: 13","AW: 10 | QA: 2 | Total: 12","AW: 12 | SS: 1 | Total: 13","AW: 12 | SS: 1 | Total: 13"
"JU54","FP, AW, QA, SS",16,"2011, 2015, 2018",3,"3 : FP",NA,NA,NA,"11 : AW | 1 : QA",NA,NA,"1 : SS","AW: 11 | QA: 1 | SS: 1 | Total: 13","FP: 3 | AW: 11 | QA: 1 | Total: 15","AW: 11 | QA: 1 | SS: 1 | Total: 13","AW: 11 | QA: 1 | SS: 1 | Total: 13"
"JU55","TM, IM, TR, RB",87,"2013, 2014, 2015, 2011, 2012, 2016, 2017, 2018",8,"6 : TR","6 : TR","2 : RB | 12 : TM | 6 : TR","2 : RB | 12 : TM | 6 : TR","12 : IM | 6 : TR","6 : TR","6 : TR","5 : TR","IM: 12 | TR: 23 | Total: 35","TR: 36 | RB: 4 | TM: 24 | IM: 12 | Total: 76","RB: 4 | TM: 24 | TR: 35 | IM: 12 | Total: 75","IM: 12 | TR: 23 | Total: 35"
"JU56","AW, QA, SS",26,"2011, 2012, 2013, 2018",4,"6 : AW","3 : AW | 3 : QA","10 : AW | 2 : QA",NA,NA,NA,NA,"2 : SS","SS: 2 | Total: 2","AW: 19 | QA: 5 | Total: 24","AW: 10 | QA: 2 | SS: 2 | Total: 14","SS: 2 | Total: 2"
"JU57","AW, RB, FP",21,"2014, 2013, 2015, 2018",4,NA,NA,"2 : RB","12 : AW | 2 : RB","3 : FP",NA,NA,"2 : RB","FP: 3 | RB: 2 | Total: 5","RB: 4 | AW: 12 | FP: 3 | Total: 19","RB: 6 | AW: 12 | FP: 3 | Total: 21","FP: 3 | RB: 2 | Total: 5"
"JU58","FP, PA, SS",18,"2014, 2017, 2018",3,NA,NA,NA,"2 : FP | 12 : PA",NA,NA,"1 : SS","1 : FP | 2 : SS","SS: 3 | FP: 1 | Total: 4","FP: 2 | PA: 12 | Total: 14","FP: 3 | PA: 12 | SS: 3 | Total: 18","SS: 3 | FP: 1 | Total: 4"
"NE34","AW, TM",24,"2011, 2012, 2016",3,"6 : AW","6 : AW",NA,NA,NA,"12 : TM",NA,NA,"TM: 12 | Total: 12","AW: 12 | TM: 12 | Total: 24","TM: 12 | Total: 12","TM: 12 | Total: 12"
"NE38","RB",2,"2013",1,NA,NA,"2 : RB",NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2",NA
"NE41","AW, TM",24,"2011, 2012, 2016",3,"6 : AW","6 : AW",NA,NA,NA,"12 : TM",NA,NA,"TM: 12 | Total: 12","AW: 12 | TM: 12 | Total: 24","TM: 12 | Total: 12","TM: 12 | Total: 12"
"NE42","AW, RB, FP",28,"2011, 2012, 2017, 2018",4,"6 : AW | 2 : RB","6 : AW",NA,NA,NA,NA,"12 : AW","2 : FP","AW: 12 | FP: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14","AW: 12 | FP: 2 | Total: 14","AW: 12 | FP: 2 | Total: 14"
"NE43","TR, RL, TM, FP, PA, QA",671,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"84 : RL | 12 : TR","80 : RL | 1 : TM | 11 : TR","2 : FP | 10 : PA | 2 : QA | 84 : RL | 1 : TM | 9 : TR","79 : RL | 2 : TM | 12 : TR","73 : RL | 8 : TR","56 : RL | 12 : TR","67 : RL | 6 : TR","55 : RL | 5 : TR","RL: 251 | TR: 31 | Total: 282","RL: 456 | TR: 64 | TM: 4 | FP: 2 | PA: 10 | QA: 2 | Total: 538","FP: 2 | PA: 10 | QA: 2 | RL: 414 | TM: 3 | TR: 52 | Total: 483","RL: 251 | TR: 31 | Total: 282"
"NE44","RB, TM, AW, RL",617,"2011, 2013, 2014, 2017, 2018",5,"2 : RB",NA,"148 : RL | 5 : TM","13 : AW | 2 : RB | 169 : RL",NA,NA,"146 : RL","132 : RL","RL: 278 | Total: 278","RB: 4 | RL: 317 | TM: 5 | AW: 13 | Total: 339","RL: 595 | TM: 5 | AW: 13 | RB: 2 | Total: 615","RL: 278 | Total: 278"
"NE45","FP, PA, TM, SS",17,"2013, 2014",2,NA,NA,"3 : FP | 12 : PA","1 : SS | 1 : TM",NA,NA,NA,NA,NA,"FP: 3 | PA: 12 | SS: 1 | TM: 1 | Total: 17","FP: 3 | PA: 12 | SS: 1 | TM: 1 | Total: 17",NA
"NE46","RL, TR, TM, SS, RB, FP",1552,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"4 : RB | 168 : RL | 6 : TR","178 : RL | 2 : TM | 6 : TR","202 : RL | 8 : TM | 6 : TR","3 : FP | 208 : RL | 7 : SS | 6 : TM | 6 : TR","178 : RL | 6 : TR","149 : RL | 6 : TR","214 : RL | 6 : TR","178 : RL | 5 : TR","RL: 719 | TR: 23 | Total: 742","RB: 4 | RL: 1083 | TR: 36 | TM: 16 | FP: 3 | SS: 7 | Total: 1149","RL: 1129 | TM: 14 | TR: 35 | FP: 3 | SS: 7 | Total: 1188","RL: 719 | TR: 23 | Total: 742"
"NE47","RL, TM",4801,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"630 : RL","549 : RL | 1 : TM","652 : RL","651 : RL","560 : RL","541 : RL","661 : RL","556 : RL","RL: 2318 | Total: 2318","RL: 3583 | TM: 1 | Total: 3584","RL: 3621 | Total: 3621","RL: 2318 | Total: 2318"
"NE48","AW",12,"2015",1,NA,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"NE49","AW",24,"2011, 2012, 2017",3,"6 : AW","6 : AW",NA,NA,NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"NE50","AW, RB",14,"2015, 2018",2,NA,NA,NA,NA,"12 : AW",NA,NA,"2 : RB","AW: 12 | RB: 2 | Total: 14","AW: 12 | Total: 12","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14"
"NE51","TM, RB, AW",54,"2011, 2012, 2016, 2017",4,"1 : RB | 18 : TM","1 : RB | 18 : TM",NA,NA,NA,"2 : RB","12 : AW | 2 : RB",NA,"RB: 4 | AW: 12 | Total: 16","RB: 4 | TM: 36 | Total: 40","RB: 4 | AW: 12 | Total: 16","RB: 4 | AW: 12 | Total: 16"
"NE52","AW, FP",14,"2015, 2018",2,NA,NA,NA,NA,"12 : AW",NA,NA,"2 : FP","AW: 12 | FP: 2 | Total: 14","AW: 12 | Total: 12","AW: 12 | FP: 2 | Total: 14","AW: 12 | FP: 2 | Total: 14"
"NE53","AW, QA, RB",14,"2015, 2012",2,NA,"2 : RB",NA,NA,"11 : AW | 1 : QA",NA,NA,NA,"AW: 11 | QA: 1 | Total: 12","RB: 2 | AW: 11 | QA: 1 | Total: 14","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12"
"NE54","AW, RB",26,"2011, 2012, 2014, 2017",4,"6 : AW","6 : AW",NA,"2 : RB",NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 12 | RB: 2 | Total: 14","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"NE55","TR, PA, FP",62,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TR","6 : TR","6 : TR","3 : FP | 12 : PA | 6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | FP: 3 | PA: 12 | Total: 51","TR: 35 | FP: 3 | PA: 12 | Total: 50","TR: 23 | Total: 23"
"NE56","TM, SS, QA, AW",53,"2013, 2014, 2011, 2012, 2017",5,"18 : TM","1 : QA | 17 : TM","3 : TM","1 : SS | 1 : TM",NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","TM: 39 | QA: 1 | SS: 1 | Total: 41","TM: 4 | SS: 1 | AW: 12 | Total: 17","AW: 12 | Total: 12"
"NE57","TM, SS, TR, PA, FP",111,"2011, 2012, 2014, 2013, 2015, 2016, 2017, 2018",8,"15 : TM | 6 : TR","14 : TM | 6 : TR","8 : TM | 6 : TR","1 : SS | 1 : TM | 6 : TR","6 : TR","2 : FP | 12 : PA","12 : TM | 6 : TR","5 : TM | 5 : TR","TR: 17 | FP: 2 | PA: 12 | TM: 17 | Total: 48","TM: 38 | TR: 30 | SS: 1 | FP: 2 | PA: 12 | Total: 83","TM: 26 | TR: 29 | SS: 1 | FP: 2 | PA: 12 | Total: 70","TR: 17 | FP: 2 | PA: 12 | TM: 17 | Total: 48"
"NE58","AW, QA, RB",25,"2011, 2012, 2013, 2017",4,"6 : AW","5 : AW | 1 : QA","1 : RB",NA,NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 11 | QA: 1 | RB: 1 | Total: 13","RB: 1 | AW: 12 | Total: 13","AW: 12 | Total: 12"
"NE59","TM, FP, RB, TR",109,"2011, 2013, 2015, 2014, 2012, 2016, 2017, 2018",8,"3 : FP | 2 : TM | 6 : TR","4 : RB | 6 : TR","2 : FP | 4 : RB | 1 : TM | 6 : TR","6 : RB | 6 : TR","2 : FP | 4 : RB | 6 : TR","4 : RB | 6 : TR","1 : FP | 6 : RB | 12 : TM | 6 : TR","1 : RB | 10 : TM | 5 : TR","FP: 3 | RB: 15 | TR: 23 | TM: 22 | Total: 63","FP: 7 | TM: 3 | TR: 36 | RB: 22 | Total: 68","FP: 5 | RB: 25 | TM: 23 | TR: 35 | Total: 88","FP: 3 | RB: 15 | TR: 23 | TM: 22 | Total: 63"
"NE60","RB, AW",28,"2011, 2014, 2012, 2017",4,"6 : AW | 2 : RB","6 : AW",NA,"2 : RB",NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 12 | RB: 4 | Total: 16","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"NE61","RB, FP, IM, TM",20,"2011, 2012, 2016, 2017",4,"2 : RB","3 : FP",NA,NA,NA,"7 : IM | 2 : RB","6 : TM",NA,"IM: 7 | RB: 2 | TM: 6 | Total: 15","RB: 4 | FP: 3 | IM: 7 | Total: 14","IM: 7 | RB: 2 | TM: 6 | Total: 15","IM: 7 | RB: 2 | TM: 6 | Total: 15"
"NE62","TM, QA, PA, AW, TR",43,"2011, 2013, 2012, 2015, 2017, 2018",6,"1 : QA | 2 : TM","1 : TM","12 : PA | 4 : TM",NA,"12 : AW",NA,"6 : TR","5 : TR","AW: 12 | TR: 11 | Total: 23","QA: 1 | TM: 7 | PA: 12 | AW: 12 | Total: 32","PA: 12 | TM: 4 | AW: 12 | TR: 11 | Total: 39","AW: 12 | TR: 11 | Total: 23"
"NE63","AW, QA, PA, FP",26,"2011, 2012, 2015",3,"6 : AW","5 : AW | 1 : QA",NA,NA,"2 : FP | 10 : PA | 2 : QA",NA,NA,NA,"FP: 2 | PA: 10 | QA: 2 | Total: 14","AW: 11 | QA: 3 | FP: 2 | PA: 10 | Total: 26","FP: 2 | PA: 10 | QA: 2 | Total: 14","FP: 2 | PA: 10 | QA: 2 | Total: 14"
"NE64","AW, TM",23,"2013, 2017, 2018",3,NA,NA,"12 : AW",NA,NA,NA,"6 : TM","5 : TM","TM: 11 | Total: 11","AW: 12 | Total: 12","AW: 12 | TM: 11 | Total: 23","TM: 11 | Total: 11"
"NE65","AW, QA, TM, RB",27,"2011, 2012, 2017, 2018",4,"2 : AW | 3 : QA","4 : AW | 2 : QA",NA,NA,NA,NA,"11 : AW | 1 : TM","2 : AW | 2 : RB","AW: 13 | TM: 1 | RB: 2 | Total: 16","AW: 6 | QA: 5 | Total: 11","AW: 13 | TM: 1 | RB: 2 | Total: 16","AW: 13 | TM: 1 | RB: 2 | Total: 16"
"NE70","RB",4,"2015, 2016",2,NA,NA,NA,NA,"2 : RB","2 : RB",NA,NA,"RB: 4 | Total: 4","RB: 4 | Total: 4","RB: 4 | Total: 4","RB: 4 | Total: 4"
"NE71","AW, FP, RB, TM",42,"2014, 2011, 2015, 2012",4,"4 : FP","12 : TM",NA,"12 : AW | 12 : TM","2 : RB",NA,NA,NA,"RB: 2 | Total: 2","FP: 4 | TM: 24 | AW: 12 | RB: 2 | Total: 42","AW: 12 | TM: 12 | RB: 2 | Total: 26","RB: 2 | Total: 2"
"NE72","AW, TM, FP",55,"2011, 2012, 2014, 2015, 2016, 2017, 2018",7,"6 : AW | 2 : TM","6 : AW",NA,"15 : TM","7 : TM","7 : TM","6 : TM","1 : FP | 5 : TM","TM: 25 | FP: 1 | Total: 26","AW: 12 | TM: 31 | Total: 43","TM: 40 | FP: 1 | Total: 41","TM: 25 | FP: 1 | Total: 26"
"NE73","TM, TR, RB, SS, FP",67,"2011, 2014, 2012, 2013, 2015, 2016, 2017, 2018",8,"3 : TM | 6 : TR","3 : FP | 1 : TM | 6 : TR","5 : TM | 7 : TR","1 : SS | 4 : TM | 6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","5 : TR","RB: 2 | TR: 23 | Total: 25","TM: 13 | TR: 37 | FP: 3 | SS: 1 | RB: 2 | Total: 56","TM: 9 | TR: 36 | SS: 1 | RB: 2 | Total: 48","RB: 2 | TR: 23 | Total: 25"
"NE74","RB, AW, TM, FP",30,"2016, 2013, 2012, 2014, 2015, 2011, 2018, 2017",8,"1 : TM","2 : RB","12 : AW","2 : RB","2 : RB","4 : RB","2 : RB","2 : FP | 3 : RB","RB: 11 | FP: 2 | Total: 13","TM: 1 | RB: 10 | AW: 12 | Total: 23","AW: 12 | RB: 13 | FP: 2 | Total: 27","RB: 11 | FP: 2 | Total: 13"
"NE75","AW, TM, RB",24,"2011, 2012, 2014, 2018",4,"6 : AW","6 : AW | 2 : RB",NA,"2 : RB | 1 : TM",NA,NA,NA,"7 : AW","AW: 7 | Total: 7","AW: 12 | RB: 4 | TM: 1 | Total: 17","RB: 2 | TM: 1 | AW: 7 | Total: 10","AW: 7 | Total: 7"
"NE81","TR, TM, SS, RB",150,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"13 : TM | 6 : TR","13 : TM | 6 : TR","31 : TM | 14 : TR","3 : RB | 3 : SS | 26 : TM | 12 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TM: 83 | TR: 50 | RB: 3 | SS: 3 | Total: 139","TM: 57 | TR: 49 | RB: 3 | SS: 3 | Total: 112","TR: 23 | Total: 23"
"NE82","TM, PA, SS, FP",41,"2011, 2012, 2014, 2017, 2018",5,"7 : TM","6 : TM",NA,"3 : FP | 12 : PA | 1 : SS | 1 : TM",NA,NA,"6 : TM","5 : TM","TM: 11 | Total: 11","TM: 14 | FP: 3 | PA: 12 | SS: 1 | Total: 30","FP: 3 | PA: 12 | SS: 1 | TM: 12 | Total: 28","TM: 11 | Total: 11"
