"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022"
"CM11","RB, QA, FP",14,"2012, 2014, 2011",3,"5 : FP","1 : QA | 1 : RB",NA,"7 : RB",NA,NA,NA,NA,NA,"FP: 5 | QA: 1 | RB: 8 | Total: 14","RB: 7 | Total: 7",NA
"CU01","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12"
"CU02","AW, FP",14,"2016, 2011",2,"2 : FP",NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","FP: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12","AW: 12 | Total: 12"
"CU03","RB, AW",16,"2013, 2016, 2011, 2012",4,"6 : AW","6 : AW","2 : RB",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 12 | RB: 4 | Total: 16","RB: 4 | Total: 4","RB: 2 | Total: 2"
"CU04","AW, RL",72,"2013, 2011, 2012",3,"32 : RL","28 : RL","12 : AW",NA,NA,NA,NA,NA,NA,"RL: 60 | AW: 12 | Total: 72","AW: 12 | Total: 12",NA
"CU05","AW, FP, RB",16,"2015, 2012, 2014",3,NA,"2 : FP",NA,"2 : RB","12 : AW",NA,NA,NA,"AW: 12 | Total: 12","FP: 2 | RB: 2 | AW: 12 | Total: 16","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"CU06","RB, AW",14,"2013, 2011, 2012",3,"6 : AW","6 : AW","2 : RB",NA,NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA
"CU07","RB",3,"2012, 2013",2,NA,"1 : RB","2 : RB",NA,NA,NA,NA,NA,NA,"RB: 3 | Total: 3","RB: 2 | Total: 2",NA
"CU08","AW, FP, SS",36,"2014, 2011, 2012",3,"2 : FP | 16 : SS","6 : SS",NA,"12 : AW",NA,NA,NA,NA,NA,"FP: 2 | SS: 22 | AW: 12 | Total: 36","AW: 12 | Total: 12",NA
"JA01","AW, RB",26,"2011, 2012, 2014, 2017, 2018",5,"6 : AW","6 : AW",NA,"2 : RB",NA,NA,"7 : AW","5 : AW","AW: 12 | Total: 12","AW: 12 | RB: 2 | Total: 14","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"JA02","RB, AW, PA",33,"2012, 2013, 2014, 2011, 2016, 2017",6,"6 : AW","6 : AW | 3 : RB","8 : RB","2 : RB",NA,"2 : RB","6 : PA",NA,"RB: 2 | PA: 6 | Total: 8","AW: 12 | RB: 15 | Total: 27","RB: 12 | PA: 6 | Total: 18","RB: 2 | PA: 6 | Total: 8"
"JA03","TR, RB, PA, RL, QA, FP",206,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"4 : RB | 12 : TR","12 : TR","1 : QA | 57 : RL | 12 : TR","54 : RL | 12 : TR","12 : TR","2 : FP | 6 : PA | 12 : TR","6 : TR","4 : TR","TR: 34 | FP: 2 | PA: 6 | Total: 42","RB: 4 | TR: 72 | QA: 1 | RL: 111 | FP: 2 | PA: 6 | Total: 196","QA: 1 | RL: 111 | TR: 58 | FP: 2 | PA: 6 | Total: 178","TR: 34 | FP: 2 | PA: 6 | Total: 42"
"JA04","RB, TM, IM, FP, AW",59,"2013, 2012, 2014, 2015, 2016, 2011",6,"12 : AW","12 : AW | 4 : RB","4 : RB","4 : RB","2 : RB | 6 : TM","2 : FP | 12 : IM | 1 : RB",NA,NA,"RB: 3 | TM: 6 | FP: 2 | IM: 12 | Total: 23","AW: 24 | RB: 15 | TM: 6 | FP: 2 | IM: 12 | Total: 59","RB: 11 | TM: 6 | FP: 2 | IM: 12 | Total: 31","RB: 3 | TM: 6 | FP: 2 | IM: 12 | Total: 23"
"JA05","TR, RB, AW, FP",56,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : AW | 6 : TR","6 : AW | 6 : TR","1 : FP | 4 : RB | 6 : TR","6 : TR","2 : RB | 6 : TR","1 : RB | 6 : TR",NA,NA,"RB: 3 | TR: 12 | Total: 15","AW: 12 | TR: 36 | FP: 1 | RB: 7 | Total: 56","FP: 1 | RB: 7 | TR: 24 | Total: 32","RB: 3 | TR: 12 | Total: 15"
