"","FDT_STA_ID","Year","Sample n","SPG codes","SPG codes First","IR2022 Sample n","IR2024 Sample n","IR2026 Sample n","IR2028 Sample n","IR24Temp","IR24pH","IR24DO","IR24SpC","IR26Temp","IR26pH","IR26DO","IR26SpC","IR28Temp","IR28pH","IR28DO","IR28SpC","flag"
"447","9-LRV009.11",2022,6,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"448","9-LRV065.57",2021,28,"AW | RB","AW",NA,30,30,30,100,100,93.3333333333333,50,100,100,100,100,100,100,100,100,"FLAG"
"449","9-LRV065.57",2022,2,"RB","RB",NA,30,30,30,100,100,93.3333333333333,50,100,100,100,100,100,100,100,100,"FLAG"
"450","9-LRY007.02",2021,4,"RB","RB",NA,4,4,4,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"451","9-LWF001.30",2021,4,"RB","RB",NA,6,6,6,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"452","9-LWF001.30",2022,2,"RB","RB",NA,6,6,6,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"453","9-LWF004.55",2021,24,"AW","AW",NA,24,24,24,91.6666666666667,91.6666666666667,83.3333333333333,45.8333333333333,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,"FLAG"
"454","9-NEW030.15",2021,28,"TR | AW | HF","TR",NA,34,34,34,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"455","9-NEW030.15",2022,6,"TR","TR",NA,34,34,34,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"456","9-NEW056.72",2021,20,"AW | HF","AW",NA,20,20,20,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"457","9-NEW066.90",2021,38,"TR | AW | HF","TR",NA,48,48,48,95.8333333333333,95.8333333333333,95.8333333333333,47.9166666666667,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,"FLAG"
"458","9-NEW066.90",2022,10,"TR | SS","TR",NA,48,48,48,95.8333333333333,95.8333333333333,95.8333333333333,47.9166666666667,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,95.8333333333333,"FLAG"
