"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024"
"RD16","AW",12,"2016",1,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD17","AW, RB, FP, PA, TR, QA",60,"2013, 2016, 2014, 2018, 2019",5,"12 : AW","2 : FP | 12 : PA",NA,"2 : FP | 12 : PA | 2 : RB",NA,"1 : FP | 2 : QA | 11 : TR","2 : FP | 2 : RB","FP: 5 | PA: 12 | RB: 4 | QA: 2 | TR: 11 | Total: 34","AW: 12 | FP: 5 | PA: 24 | RB: 2 | QA: 2 | TR: 11 | Total: 56","FP: 5 | PA: 12 | RB: 4 | QA: 2 | TR: 11 | Total: 34","FP: 3 | QA: 2 | TR: 11 | RB: 2 | Total: 18"
"RD18","AW, QA, RB",14,"2013, 2016",2,"11 : AW | 1 : QA",NA,NA,"2 : RB",NA,NA,NA,"RB: 2 | Total: 2","AW: 11 | QA: 1 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA
"RD19","AW, RL",875,"2014, 2015, 2016, 2019",4,NA,"12 : AW","291 : RL","330 : RL",NA,NA,"242 : RL","RL: 572 | Total: 572","AW: 12 | RL: 621 | Total: 633","RL: 863 | Total: 863","RL: 242 | Total: 242"
"RD20","RL, AW",610,"2015, 2016, 2017, 2019",4,NA,NA,"216 : RL","236 : RL","12 : AW",NA,"146 : RL","RL: 382 | AW: 12 | Total: 394","RL: 452 | AW: 12 | Total: 464","RL: 598 | AW: 12 | Total: 610","AW: 12 | RL: 146 | Total: 158"
"RD21","AW, RB",13,"2016, 2019",2,NA,NA,NA,"12 : AW",NA,NA,"1 : RB","AW: 12 | RB: 1 | Total: 13","AW: 12 | Total: 12","AW: 12 | RB: 1 | Total: 13","RB: 1 | Total: 1"
"RD22","FP, PA, TR, AW, RL",602,"2017, 2013, 2014, 2015, 2016, 2018, 2019",7,"6 : TR","6 : TR","181 : RL | 6 : TR","1 : AW | 215 : RL | 6 : TR","1 : AW | 2 : FP | 12 : PA | 6 : TR","6 : TR","149 : RL | 5 : TR","AW: 2 | RL: 364 | TR: 23 | FP: 2 | PA: 12 | Total: 403","TR: 36 | RL: 396 | AW: 2 | FP: 2 | PA: 12 | Total: 448","RL: 545 | TR: 29 | AW: 2 | FP: 2 | PA: 12 | Total: 590","AW: 1 | FP: 2 | PA: 12 | TR: 17 | RL: 149 | Total: 181"
"RD23","AW",12,"2017",1,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD24","TM, RB, AW, FP, RL, PA, TR",4733,"2013, 2014, 2015, 2017, 2016, 2018, 2019",7,"4 : FP | 8 : RB | 6 : TM | 6 : TR","6 : AW | 11 : RB | 58 : RL | 4397 : TM | 6 : TR","6 : FP | 59 : RL | 6 : TR","2 : FP | 12 : PA | 1 : RB | 11 : TR","2 : FP | 12 : PA | 6 : TR","6 : TR","2 : FP | 101 : RL | 5 : TR","FP: 6 | PA: 24 | RB: 1 | TR: 28 | RL: 101 | Total: 160","FP: 14 | RB: 20 | TM: 4403 | TR: 41 | AW: 6 | RL: 117 | PA: 24 | Total: 4625","FP: 12 | RL: 160 | TR: 34 | PA: 24 | RB: 1 | Total: 231","FP: 4 | PA: 12 | TR: 17 | RL: 101 | Total: 134"
"RD25","QA, AW, PA",23,"2017, 2016",2,NA,NA,NA,"11 : PA","10 : AW | 2 : QA",NA,NA,"PA: 11 | AW: 10 | QA: 2 | Total: 23","PA: 11 | AW: 10 | QA: 2 | Total: 23","PA: 11 | AW: 10 | QA: 2 | Total: 23","AW: 10 | QA: 2 | Total: 12"
