"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024"
"JU21","AW, RB, TM, TR, PA, SS, FP",660,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"33 : AW | 2 : RB | 12 : TR","30 : AW | 3 : RB | 12 : TR","27 : AW | 3 : RB | 6 : TM | 6 : TR","18 : AW | 3 : RB | 6 : TM | 6 : TR","18 : AW | 1 : FP | 12 : PA | 2 : RB | 1 : SS | 6 : TR","6 : AW | 3 : SS | 6 : TM | 12 : TR","18 : AW | 393 : TM | 15 : TR","AW: 60 | RB: 5 | TM: 405 | TR: 39 | FP: 1 | PA: 12 | SS: 4 | Total: 526","AW: 132 | RB: 13 | TR: 54 | TM: 18 | FP: 1 | PA: 12 | SS: 4 | Total: 234","AW: 87 | RB: 8 | TM: 411 | TR: 45 | FP: 1 | PA: 12 | SS: 4 | Total: 568","AW: 42 | FP: 1 | PA: 12 | RB: 2 | SS: 4 | TR: 33 | TM: 399 | Total: 493"
"JU22","AW",20,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"8 : AW","AW: 8 | Total: 8","AW: 12 | Total: 12","AW: 8 | Total: 8","AW: 8 | Total: 8"
"JU24","TR, SS, AW, QA, RB, TM",109,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"10 : AW | 1 : QA | 1 : RB | 6 : TR","10 : AW | 1 : RB | 6 : TR","8 : AW | 1 : QA | 1 : RB | 6 : TR","6 : AW | 3 : RB | 6 : TR","6 : AW | 1 : RB | 1 : SS | 6 : TR","2 : AW | 4 : SS | 6 : TM | 6 : TR","6 : AW | 5 : TR","AW: 20 | RB: 4 | TR: 23 | SS: 5 | TM: 6 | Total: 58","AW: 42 | QA: 2 | RB: 7 | TR: 36 | SS: 5 | TM: 6 | Total: 98","AW: 28 | QA: 1 | RB: 5 | TR: 29 | SS: 5 | TM: 6 | Total: 74","AW: 14 | RB: 1 | SS: 5 | TR: 17 | TM: 6 | Total: 43"
"JU36","TR, FP",37,"2014, 2015, 2016, 2017, 2018, 2013, 2019",7,"2 : FP","6 : TR","5 : TR","6 : TR","6 : TR","6 : TR","1 : FP | 5 : TR","TR: 23 | FP: 1 | Total: 24","FP: 2 | TR: 29 | Total: 31","TR: 28 | FP: 1 | Total: 29","TR: 17 | FP: 1 | Total: 18"
"JU37","TR, RB, SS, FP",47,"2013, 2014, 2015, 2016, 2017, 2018",6,"1 : RB | 6 : TR","2 : FP | 1 : RB | 6 : TR","1 : RB | 6 : TR","1 : RB | 6 : TR","1 : RB | 1 : SS | 6 : TR","3 : SS | 6 : TR",NA,"RB: 2 | TR: 18 | SS: 4 | Total: 24","RB: 5 | TR: 36 | FP: 2 | SS: 4 | Total: 47","RB: 3 | TR: 24 | SS: 4 | Total: 31","RB: 1 | SS: 4 | TR: 12 | Total: 17"
"JU38","AW",12,"2017",1,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"JU39","RB, AW",14,"2013, 2016",2,"2 : RB",NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12",NA
"JU40","AW",9,"2017",1,NA,NA,NA,NA,"9 : AW",NA,NA,"AW: 9 | Total: 9","AW: 9 | Total: 9","AW: 9 | Total: 9","AW: 9 | Total: 9"
"JU41","TM, RB",14,"2015, 2016, 2019",3,NA,NA,"6 : TM","6 : TM",NA,NA,"2 : RB","TM: 6 | RB: 2 | Total: 8","TM: 12 | Total: 12","TM: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2"
"JU42","AW, QA",22,"2013, 2019",2,"10 : AW | 2 : QA",NA,NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 10 | QA: 2 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"JU43","AW, TM, RB",37,"2017, 2015, 2016",3,NA,NA,"11 : TM","2 : RB | 12 : TM","12 : AW",NA,NA,"RB: 2 | TM: 12 | AW: 12 | Total: 26","TM: 23 | RB: 2 | AW: 12 | Total: 37","TM: 23 | RB: 2 | AW: 12 | Total: 37","AW: 12 | Total: 12"
"JU44","PA, FP",56,"2013, 2015, 2017, 2019",4,"2 : FP | 12 : PA",NA,"2 : FP | 11 : PA",NA,"4 : FP | 24 : PA",NA,"1 : FP","FP: 5 | PA: 24 | Total: 29","FP: 8 | PA: 47 | Total: 55","FP: 7 | PA: 35 | Total: 42","FP: 5 | PA: 24 | Total: 29"
"JU45","AW, RB",13,"2017, 2019",2,NA,NA,NA,NA,"12 : AW",NA,"1 : RB","AW: 12 | RB: 1 | Total: 13","AW: 12 | Total: 12","AW: 12 | RB: 1 | Total: 13","AW: 12 | RB: 1 | Total: 13"
"JU46","AW, QA",12,"2018",1,NA,NA,NA,NA,NA,"11 : AW | 1 : QA",NA,"AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12"
"JU47","TM, RB, FP",20,"2015, 2016, 2017",3,NA,NA,"1 : FP | 2 : RB | 5 : TM","4 : RB | 6 : TM","2 : RB",NA,NA,"RB: 6 | TM: 6 | Total: 12","FP: 1 | RB: 8 | TM: 11 | Total: 20","FP: 1 | RB: 8 | TM: 11 | Total: 20","RB: 2 | Total: 2"
"JU48","FP, PA, RB",42,"2015, 2014, 2016, 2013",4,"2 : RB","2 : FP | 12 : PA","1 : FP | 11 : PA","2 : FP | 12 : PA",NA,NA,NA,"FP: 2 | PA: 12 | Total: 14","RB: 2 | FP: 5 | PA: 35 | Total: 42","FP: 3 | PA: 23 | Total: 26",NA
"JU49","TM",12,"2015, 2016",2,NA,NA,"6 : TM","6 : TM",NA,NA,NA,"TM: 6 | Total: 6","TM: 12 | Total: 12","TM: 12 | Total: 12",NA
"JU50","TR, SS, RB",45,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","2 : SS | 6 : TR","5 : TR","RB: 2 | TR: 23 | SS: 2 | Total: 27","TR: 36 | RB: 2 | SS: 2 | Total: 40","TR: 29 | RB: 2 | SS: 2 | Total: 33","TR: 17 | SS: 2 | Total: 19"
"JU51","AW, QA",22,"2014, 2019",2,NA,"11 : AW | 1 : QA",NA,NA,NA,NA,"8 : AW | 2 : QA","AW: 8 | QA: 2 | Total: 10","AW: 11 | QA: 1 | Total: 12","AW: 8 | QA: 2 | Total: 10","AW: 8 | QA: 2 | Total: 10"
"JU52","PA, RB, FP, TM, AW, QA",84,"2016, 2013, 2015, 2017, 2014, 2018, 2019",7,"4 : RB","2 : FP | 12 : PA","5 : TM","4 : FP | 36 : PA | 1 : RB | 2 : TM","2 : TM","11 : AW | 2 : FP | 2 : QA","1 : PA","FP: 6 | PA: 37 | RB: 1 | TM: 4 | AW: 11 | QA: 2 | Total: 61","RB: 5 | FP: 8 | PA: 48 | TM: 9 | AW: 11 | QA: 2 | Total: 83","TM: 9 | FP: 6 | PA: 37 | RB: 1 | AW: 11 | QA: 2 | Total: 66","TM: 2 | AW: 11 | FP: 2 | QA: 2 | PA: 1 | Total: 18"
"JU53","AW, SS, RB",15,"2017, 2018, 2016",3,NA,NA,NA,"2 : RB","12 : AW","1 : SS",NA,"RB: 2 | AW: 12 | SS: 1 | Total: 15","RB: 2 | AW: 12 | SS: 1 | Total: 15","RB: 2 | AW: 12 | SS: 1 | Total: 15","AW: 12 | SS: 1 | Total: 13"
"JU54","AW, QA, SS",13,"2015, 2018",2,NA,NA,"11 : AW | 1 : QA",NA,NA,"1 : SS",NA,"SS: 1 | Total: 1","AW: 11 | QA: 1 | SS: 1 | Total: 13","AW: 11 | QA: 1 | SS: 1 | Total: 13","SS: 1 | Total: 1"
"JU55","TM, IM, TR, PA, RB, FP",98,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"2 : RB | 12 : TM | 6 : TR","2 : RB | 12 : TM | 6 : TR","12 : IM | 6 : TR","6 : TR","2 : RB | 6 : TR","12 : PA | 6 : TR","2 : FP | 1 : PA | 5 : TR","TR: 23 | RB: 2 | PA: 13 | FP: 2 | Total: 40","RB: 6 | TM: 24 | TR: 36 | IM: 12 | PA: 12 | Total: 90","IM: 12 | TR: 29 | RB: 2 | PA: 13 | FP: 2 | Total: 58","RB: 2 | TR: 17 | PA: 13 | FP: 2 | Total: 34"
"JU56","QA, AW, SS",15,"2013, 2018",2,"10 : AW | 2 : QA",NA,NA,NA,NA,"3 : SS",NA,"SS: 3 | Total: 3","AW: 10 | QA: 2 | SS: 3 | Total: 15","SS: 3 | Total: 3","SS: 3 | Total: 3"
"JU57","AW, RB, FP",20,"2014, 2013, 2015, 2018",4,"2 : RB","12 : AW | 2 : RB","2 : FP",NA,NA,"2 : RB",NA,"RB: 2 | Total: 2","RB: 6 | AW: 12 | FP: 2 | Total: 20","FP: 2 | RB: 2 | Total: 4","RB: 2 | Total: 2"
"JU58","FP, PA, SS, QA",29,"2014, 2017, 2018",3,NA,"1 : FP | 12 : PA",NA,NA,"1 : SS","1 : FP | 11 : PA | 1 : QA | 2 : SS",NA,"SS: 3 | FP: 1 | PA: 11 | QA: 1 | Total: 16","FP: 2 | PA: 23 | SS: 3 | QA: 1 | Total: 29","SS: 3 | FP: 1 | PA: 11 | QA: 1 | Total: 16","SS: 3 | FP: 1 | PA: 11 | QA: 1 | Total: 16"
"NE42","AW, FP",14,"2017, 2018",2,NA,NA,NA,NA,"12 : AW","2 : FP",NA,"AW: 12 | FP: 2 | Total: 14","AW: 12 | FP: 2 | Total: 14","AW: 12 | FP: 2 | Total: 14","AW: 12 | FP: 2 | Total: 14"
"NE43","TR, RL, FP, PA, QA, TM",516,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"1 : FP | 7 : PA | 2 : QA | 69 : RL | 1 : TM | 9 : TR","79 : RL | 2 : TM | 12 : TR","58 : RL | 8 : TR","50 : RL | 12 : TR","67 : RL | 11 : TR","62 : RL | 12 : TR","45 : RL | 9 : TR","RL: 224 | TR: 44 | Total: 268","FP: 1 | PA: 7 | QA: 2 | RL: 385 | TM: 3 | TR: 64 | Total: 462","RL: 282 | TR: 52 | Total: 334","RL: 174 | TR: 32 | Total: 206"
"NE44","TM, AW, RB, RL",579,"2013, 2014, 2017, 2018",4,"147 : RL | 2 : TM","13 : AW | 2 : RB | 137 : RL",NA,NA,"146 : RL","132 : RL",NA,"RL: 278 | Total: 278","RL: 562 | TM: 2 | AW: 13 | RB: 2 | Total: 579","RL: 278 | Total: 278","RL: 278 | Total: 278"
"NE45","FP, PA, TM, SS, AW, QA",26,"2013, 2014, 2019",3,"2 : FP | 12 : PA","1 : SS | 1 : TM",NA,NA,NA,NA,"9 : AW | 1 : QA","AW: 9 | QA: 1 | Total: 10","FP: 2 | PA: 12 | SS: 1 | TM: 1 | Total: 16","AW: 9 | QA: 1 | Total: 10","AW: 9 | QA: 1 | Total: 10"
"NE46","RL, SS, TR, FP, TM",1305,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"174 : RL | 4 : TM | 6 : TR","2 : FP | 205 : RL | 6 : SS | 5 : TM | 6 : TR","150 : RL | 6 : TR","149 : RL | 6 : TR","214 : RL | 6 : TR","205 : RL | 6 : TR","150 : RL | 5 : TR","RL: 718 | TR: 23 | Total: 741","RL: 1097 | TM: 9 | TR: 36 | FP: 2 | SS: 6 | Total: 1150","RL: 868 | TR: 29 | Total: 897","RL: 569 | TR: 17 | Total: 586"
"NE47","RL",3961,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"556 : RL","651 : RL","464 : RL","534 : RL","661 : RL","642 : RL","453 : RL","RL: 2290 | Total: 2290","RL: 3508 | Total: 3508","RL: 2754 | Total: 2754","RL: 1756 | Total: 1756"
"NE48","AW",12,"2015",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"NE49","AW",12,"2017",1,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"NE50","RB, AW",14,"2018, 2015",2,NA,NA,"12 : AW",NA,NA,"2 : RB",NA,"RB: 2 | Total: 2","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2"
"NE51","AW, RB",15,"2017, 2016",2,NA,NA,NA,"1 : RB","12 : AW | 2 : RB",NA,NA,"RB: 3 | AW: 12 | Total: 15","RB: 3 | AW: 12 | Total: 15","RB: 3 | AW: 12 | Total: 15","AW: 12 | RB: 2 | Total: 14"
"NE52","AW, FP, PA",26,"2015, 2018",2,NA,NA,"12 : AW",NA,NA,"2 : FP | 12 : PA",NA,"FP: 2 | PA: 12 | Total: 14","AW: 12 | FP: 2 | PA: 12 | Total: 26","AW: 12 | FP: 2 | PA: 12 | Total: 26","FP: 2 | PA: 12 | Total: 14"
"NE53","AW, QA",12,"2015",1,NA,NA,"11 : AW | 1 : QA",NA,NA,NA,NA,NA,"AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12",NA
"NE54","RB, AW, FP, PT",16,"2014, 2017, 2019",3,NA,"2 : RB",NA,NA,"12 : AW",NA,"1 : FP | 1 : PT","AW: 12 | FP: 1 | PT: 1 | Total: 14","RB: 2 | AW: 12 | Total: 14","AW: 12 | FP: 1 | PT: 1 | Total: 14","AW: 12 | FP: 1 | PT: 1 | Total: 14"
"NE55","TR, PA, FP",55,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","2 : FP | 12 : PA | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | FP: 2 | PA: 12 | Total: 50","TR: 29 | Total: 29","TR: 17 | Total: 17"
"NE56","TM, SS, AW",16,"2013, 2014, 2017",3,"2 : TM","1 : SS | 1 : TM",NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","TM: 3 | SS: 1 | AW: 12 | Total: 16","AW: 12 | Total: 12","AW: 12 | Total: 12"
"NE57","TM, SS, TR, PA, FP",80,"2017, 2018, 2014, 2013, 2015, 2016, 2019",7,"6 : TM | 6 : TR","1 : SS | 1 : TM | 6 : TR","6 : TR","1 : FP | 12 : PA","12 : TM | 6 : TR","12 : TM | 6 : TR","5 : TR","FP: 1 | PA: 12 | TM: 24 | TR: 17 | Total: 54","TM: 31 | TR: 30 | SS: 1 | FP: 1 | PA: 12 | Total: 75","TR: 23 | FP: 1 | PA: 12 | TM: 24 | Total: 60","TM: 24 | TR: 17 | Total: 41"
"NE58","AW, RB",13,"2017, 2013",2,"1 : RB",NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","RB: 1 | AW: 12 | Total: 13","AW: 12 | Total: 12","AW: 12 | Total: 12"
"NE59","FP, TM, RB, TR, SS",98,"2013, 2015, 2017, 2014, 2018, 2016, 2019",7,"1 : FP | 4 : RB | 1 : TM | 6 : TR","6 : RB | 1 : SS | 6 : TR","1 : FP | 4 : RB | 6 : TR","4 : RB | 6 : TR","1 : FP | 6 : RB | 12 : TM | 6 : TR","1 : RB | 12 : TM | 6 : TR","1 : FP | 2 : RB | 5 : TR","RB: 13 | TR: 23 | FP: 2 | TM: 24 | Total: 62","FP: 3 | RB: 25 | TM: 25 | TR: 36 | SS: 1 | Total: 90","FP: 3 | RB: 17 | TR: 29 | TM: 24 | Total: 73","FP: 2 | RB: 9 | TM: 24 | TR: 17 | Total: 52"
"NE60","AW, RB",14,"2017, 2014",2,NA,"2 : RB",NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12","AW: 12 | Total: 12"
"NE61","IM, RB, TM",14,"2016, 2017",2,NA,NA,NA,"6 : IM | 2 : RB","6 : TM",NA,NA,"IM: 6 | RB: 2 | TM: 6 | Total: 14","IM: 6 | RB: 2 | TM: 6 | Total: 14","IM: 6 | RB: 2 | TM: 6 | Total: 14","TM: 6 | Total: 6"
"NE62","TM, PA, AW, TR",44,"2013, 2015, 2017, 2018, 2019",5,"12 : PA | 3 : TM",NA,"12 : AW",NA,"6 : TR","6 : TR","5 : TR","TR: 17 | Total: 17","PA: 12 | TM: 3 | AW: 12 | TR: 12 | Total: 39","AW: 12 | TR: 17 | Total: 29","TR: 17 | Total: 17"
"NE63","PA, QA, FP",13,"2015",1,NA,NA,"1 : FP | 10 : PA | 2 : QA",NA,NA,NA,NA,NA,"FP: 1 | PA: 10 | QA: 2 | Total: 13","FP: 1 | PA: 10 | QA: 2 | Total: 13",NA
"NE64","AW, TM",24,"2013, 2017, 2018",3,"12 : AW",NA,NA,NA,"6 : TM","6 : TM",NA,"TM: 12 | Total: 12","AW: 12 | TM: 12 | Total: 24","TM: 12 | Total: 12","TM: 12 | Total: 12"
"NE65","AW, TM",14,"2017, 2018",2,NA,NA,NA,NA,"11 : AW | 1 : TM","2 : AW",NA,"AW: 13 | TM: 1 | Total: 14","AW: 13 | TM: 1 | Total: 14","AW: 13 | TM: 1 | Total: 14","AW: 13 | TM: 1 | Total: 14"
"NE71","PA, AW, RB, TM",36,"2017, 2014, 2015",3,NA,"12 : AW | 10 : TM","2 : RB",NA,"12 : PA",NA,NA,"PA: 12 | Total: 12","AW: 12 | TM: 10 | RB: 2 | PA: 12 | Total: 36","RB: 2 | PA: 12 | Total: 14","PA: 12 | Total: 12"
"NE72","TM, FP, PA, QA",65,"2014, 2015, 2016, 2017, 2018",5,NA,"14 : TM","2 : FP | 12 : PA | 6 : TM","6 : TM","6 : TM","1 : FP | 11 : PA | 1 : QA | 6 : TM",NA,"TM: 18 | FP: 1 | PA: 11 | QA: 1 | Total: 31","TM: 38 | FP: 3 | PA: 23 | QA: 1 | Total: 65","FP: 3 | PA: 23 | TM: 24 | QA: 1 | Total: 51","TM: 12 | FP: 1 | PA: 11 | QA: 1 | Total: 25"
"NE73","TM, TR, RB, SS",51,"2014, 2013, 2015, 2016, 2017, 2018, 2019",7,"2 : TM | 7 : TR","1 : SS | 4 : TM | 6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TM: 6 | TR: 37 | SS: 1 | RB: 2 | Total: 46","RB: 2 | TR: 29 | Total: 31","TR: 17 | Total: 17"
"NE74","RB, AW, FP",27,"2016, 2013, 2014, 2015, 2017, 2018, 2019",7,"11 : AW","2 : RB","2 : RB","4 : RB","2 : RB","2 : FP | 2 : RB","2 : RB","RB: 10 | FP: 2 | Total: 12","AW: 11 | RB: 12 | FP: 2 | Total: 25","RB: 12 | FP: 2 | Total: 14","RB: 6 | FP: 2 | Total: 8"
"NE75","AW, QA, TM, RB",15,"2018, 2014, 2019",3,NA,"2 : RB | 1 : TM",NA,NA,NA,"9 : AW | 1 : QA","2 : RB","AW: 9 | QA: 1 | RB: 2 | Total: 12","RB: 2 | TM: 1 | AW: 9 | QA: 1 | Total: 13","AW: 9 | QA: 1 | RB: 2 | Total: 12","AW: 9 | QA: 1 | RB: 2 | Total: 12"
"NE81","TR, TM, SS, RB, AW, QA",125,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"10 : AW | 2 : QA | 27 : TM | 13 : TR","3 : RB | 3 : SS | 26 : TM | 12 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","AW: 10 | QA: 2 | TM: 53 | TR: 49 | RB: 3 | SS: 3 | Total: 120","TR: 29 | Total: 29","TR: 17 | Total: 17"
"NE82","PA, TM, SS, FP",28,"2014, 2017, 2018",3,NA,"2 : FP | 12 : PA | 1 : SS | 1 : TM",NA,NA,"6 : TM","6 : TM",NA,"TM: 12 | Total: 12","FP: 2 | PA: 12 | SS: 1 | TM: 13 | Total: 28","TM: 12 | Total: 12","TM: 12 | Total: 12"
"NE83","TR, FP, PA, QA, TM, SS",58,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"1 : TM | 7 : TR","1 : SS | 1 : TM | 6 : TR","6 : TR","1 : FP | 10 : PA | 2 : QA | 6 : TR","6 : TR","6 : TR","5 : TR","FP: 1 | PA: 10 | QA: 2 | TR: 23 | Total: 36","TM: 2 | TR: 37 | SS: 1 | FP: 1 | PA: 10 | QA: 2 | Total: 53","TR: 29 | FP: 1 | PA: 10 | QA: 2 | Total: 42","TR: 17 | Total: 17"
"NE85","TM, SS",17,"2017, 2018, 2013, 2014",4,"3 : TM","1 : SS | 1 : TM",NA,NA,"6 : TM","6 : TM",NA,"TM: 12 | Total: 12","TM: 16 | SS: 1 | Total: 17","TM: 12 | Total: 12","TM: 12 | Total: 12"
"RD01","RL, FP, PA",702,"2015, 2016, 2014",3,NA,"2 : FP | 12 : PA","314 : RL","374 : RL",NA,NA,NA,"RL: 374 | Total: 374","FP: 2 | PA: 12 | RL: 688 | Total: 702","RL: 688 | Total: 688",NA
"RD02","AW, RB",14,"2017, 2015",2,NA,NA,"2 : RB",NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","RB: 2 | AW: 12 | Total: 14","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"RD03","AW",22,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RD04","AW",12,"2016",1,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD05","AW",12,"2016",1,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD06","AW, FP, RB, PT",18,"2013, 2014, 2019",3,"12 : AW | 1 : FP | 1 : RB","2 : RB",NA,NA,NA,NA,"1 : FP | 1 : PT","FP: 1 | PT: 1 | Total: 2","AW: 12 | FP: 1 | RB: 3 | Total: 16","FP: 1 | PT: 1 | Total: 2","FP: 1 | PT: 1 | Total: 2"
"RD07","AW, QA",13,"2016",1,NA,NA,NA,"12 : AW | 1 : QA",NA,NA,NA,"AW: 12 | QA: 1 | Total: 13","AW: 12 | QA: 1 | Total: 13","AW: 12 | QA: 1 | Total: 13",NA
"RD08","FP, PA, QA",14,"2015",1,NA,NA,"2 : FP | 11 : PA | 1 : QA",NA,NA,NA,NA,NA,"FP: 2 | PA: 11 | QA: 1 | Total: 14","FP: 2 | PA: 11 | QA: 1 | Total: 14",NA
"RD09","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RD10","AW",22,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RD11","RB, TM, AW",28,"2013, 2014, 2017",3,"1 : RB","2 : RB | 13 : TM",NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","RB: 3 | TM: 13 | AW: 12 | Total: 28","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RD12","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RD14","AW",22,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RD15","RB, TR",56,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"2 : RB | 6 : TR","2 : RB | 6 : TR","2 : RB | 6 : TR","3 : RB | 6 : TR","2 : RB | 6 : TR","2 : RB | 6 : TR","2 : RB | 5 : TR","RB: 9 | TR: 23 | Total: 32","RB: 13 | TR: 36 | Total: 49","RB: 11 | TR: 29 | Total: 40","RB: 6 | TR: 17 | Total: 23"
